playerId,shortName,firstName,lastName,teamId,teamName,position_code,position_name_ro,role_general,foot,birthDate,nationality,height_cm,weight_kg,matchesPlayed,totalMinutes,total_goals,total_assists,total_shots,total_shotsOnTarget,total_yellowCards,total_redCards,total_passes,total_successfulPasses,total_dribbles,total_successfulDribbles,total_duels,total_duelsWon,total_losses,total_ownHalfLosses,total_dangerousOwnHalfLosses,total_interceptions,total_recoveries,avg_goals,avg_assists,avg_shots,avg_passes,avg_successfulPasses,avg_losses,avg_ownHalfLosses,avg_dangerousOwnHalfLosses,avg_duels,avg_duelsWon,pct_successfulPasses,pct_duelsWon,pct_successfulDribbles,pct_shotsOnTarget,position_name_en,total_matches,total_matchesInStart,total_matchesSubstituted,total_matchesComingOff,total_minutesOnField,total_minutesTagged,total_headShots,total_directRedCards,total_penalties,total_linkupPlays,total_defensiveDuels,total_defensiveDuelsWon,total_offensiveDuels,total_offensiveDuelsWon,total_aerialDuels,total_aerialDuelsWon,total_fouls,total_smartPasses,total_successfulSmartPasses,total_passesToFinalThird,total_successfulPassesToFinalThird,total_crosses,total_successfulCrosses,total_forwardPasses,total_successfulForwardPasses,total_backPasses,total_successfulBackPasses,total_throughPasses,total_successfulThroughPasses,total_keyPasses,total_successfulKeyPasses,total_verticalPasses,total_successfulVerticalPasses,total_longPasses,total_successfulLongPasses,total_defensiveActions,total_successfulDefensiveAction,total_attackingActions,total_successfulAttackingActions,total_freeKicks,total_freeKicksOnTarget,total_directFreeKicks,total_directFreeKicksOnTarget,total_corners,total_successfulPenalties,total_successfulLinkupPlays,total_accelerations,total_pressingDuels,total_pressingDuelsWon,total_looseBallDuels,total_looseBallDuelsWon,total_missedBalls,total_shotAssists,total_shotOnTargetAssists,total_opponentHalfRecoveries,total_dangerousOpponentHalfRecoveries,total_xgShot,total_xgAssist,total_xgSave,total_receivedPass,total_touchInBox,total_progressiveRun,total_offsides,total_clearances,total_secondAssists,total_thirdAssists,total_shotsBlocked,total_foulsSuffered,total_progressivePasses,total_counterpressingRecoveries,total_slidingTackles,total_goalKicks,total_dribblesAgainst,total_dribblesAgainstWon,total_goalKicksShort,total_goalKicksLong,total_successfulProgressivePasses,total_successfulSlidingTackles,total_successfulGoalKicks,total_fieldAerialDuels,total_fieldAerialDuelsWon,total_gkCleanSheets,total_gkConcededGoals,total_gkShotsAgainst,total_gkExits,total_gkSuccessfulExits,total_gkAerialDuels,total_gkAerialDuelsWon,total_gkSaves,total_newDuelsWon,total_newDefensiveDuelsWon,total_newOffensiveDuelsWon,total_newSuccessfulDribbles,total_lateralPasses,total_successfulLateralPasses,avg_passLength,avg_longPassLength,avg_dribbleDistanceFromOpponentGoal,avg_ballRecoveries,avg_defensiveDuels,avg_offensiveDuels,avg_aerialDuels,avg_fouls,avg_smartPasses,avg_passesToFinalThird,avg_crosses,avg_dribbles,avg_headShots,avg_interceptions,avg_successfulDefensiveAction,avg_yellowCards,avg_redCards,avg_directRedCards,avg_successfulAttackingActions,avg_freeKicks,avg_directFreeKicks,avg_corners,avg_penalties,avg_accelerations,avg_looseBallDuels,avg_missedBalls,avg_forwardPasses,avg_backPasses,avg_throughPasses,avg_keyPasses,avg_verticalPasses,avg_longPasses,avg_shotAssists,avg_shotOnTargetAssists,avg_linkupPlays,avg_opponentHalfRecoveries,avg_dangerousOpponentHalfRecoveries,avg_ballLosses,avg_defensiveDuelsWon,avg_offensiveDuelsWon,avg_successfulSmartPasses,avg_successfulCrosses,avg_successfulForwardPasses,avg_successfulBackPasses,avg_successfulThroughPasses,avg_successfulKeyPasses,avg_successfulVerticalPasses,avg_successfulLongPasses,avg_successfulDribbles,avg_defensiveActions,avg_attackingActions,avg_freeKicksOnTarget,avg_directFreeKicksOnTarget,avg_successfulPenalties,avg_successfulLinkupPlays,avg_looseBallDuelsWon,avg_successfulPassesToFinalThird,avg_xgShot,avg_xgAssist,avg_xgSave,avg_receivedPass,avg_touchInBox,avg_progressiveRun,avg_offsides,avg_clearances,avg_secondAssists,avg_thirdAssists,avg_foulsSuffered,avg_progressivePasses,avg_counterpressingRecoveries,avg_slidingTackles,avg_goalKicks,avg_shotsBlocked,avg_shotsOnTarget,avg_successfulProgressivePasses,avg_successfulSlidingTackles,avg_successfulGoalKicks,avg_dribblesAgainst,avg_dribblesAgainstWon,avg_goalKicksShort,avg_goalKicksLong,avg_fieldAerialDuels,avg_fieldAerialDuelsWon,avg_gkConcededGoals,avg_gkShotsAgainst,avg_gkExits,avg_gkAerialDuels,avg_gkSaves,avg_gkSuccessfulExits,avg_gkAerialDuelsWon,avg_newDuelsWon,avg_newDefensiveDuelsWon,avg_newOffensiveDuelsWon,avg_newSuccessfulDribbles,avg_lateralPasses,avg_successfulLateralPasses,pct_defensiveDuelsWon,pct_offensiveDuelsWon,pct_aerialDuelsWon,pct_successfulSmartPasses,pct_successfulPassesToFinalThird,pct_successfulCrosses,pct_headShotsOnTarget,pct_goalConversion,pct_directFreeKicksOnTarget,pct_penaltiesConversion,pct_win,pct_successfulForwardPasses,pct_successfulBackPasses,pct_successfulThroughPasses,pct_successfulKeyPasses,pct_successfulVerticalPasses,pct_successfulLongPasses,pct_successfulShotAssists,pct_successfulLinkupPlays,pct_yellowCardsPerFoul,pct_successfulProgressivePasses,pct_successfulSlidingTackles,pct_successfulGoalKicks,pct_dribblesAgainstWon,pct_fieldAerialDuelsWon,pct_gkSaves,pct_gkSuccessfulExits,pct_gkAerialDuelsWon,pct_newDuelsWon,pct_newDefensiveDuelsWon,pct_newOffensiveDuelsWon,pct_newSuccessfulDribbles,pct_successfulLateralPasses
95,K. Luckassen,Kevin,Luckassen Brobbey,23334,FC Argeș,cf,Atacant Central,Forward,right,7/26/1993,Netherlands,185,80,17,387,0,0,6,1,4,0,78,51,4,4,117,43,57,10,1,4,10,0,0,0.067,2.929,1.975,1.826,0.432,0.075,4.359,1.412,12.325,41.075,23.529,0,Striker,17,2,2,15,387,387,3,0,0,7,13,4,27,8,52,21,11,0,0,3,1,3,1,15,8,27,19,0,0,2,2,14,7,0,0,18,15,13,5,0,0,0,0,0,0,6,0,6,0,25,10,2,2,2,6,1,1.46,0.06,0,39,17,0,1,2,0,0,0,1,3,7,1,0,2,2,0,0,2,1,0,52,21,0,0,0,0,0,0,0,0,49,10,8,3,14,7,11.694,0,3.765,0.432,0.581,1.032,2.03,0.317,0,0.142,0.075,0.142,0,0,0.506,0.108,0,0,0.067,0,0,0,0,0,0.715,0,0.432,1.338,0,0,0.317,0,0,0,0.444,0.432,0.108,0.075,0.216,0.284,0,0,0.209,1.006,0,0,0.067,0,0.142,0.581,0.284,0,0,0,0.376,0.224,0.075,0.015,0,0,1.058,0.492,0,0.075,0,0,0,0.067,0,0.365,0,0,0,0,0,0,0,0,0,0,0,2.03,0.69,0,0,0,0,0,0,0,1.704,0.506,0.284,0.067,0.317,0.067,11.765,19.818,5.562,0,5.882,0,0,0,0,0,5.882,7.353,14.265,0,0,2.941,0,5.882,10.588,7.841,0,0,0,0,5.562,0,0,0,6.403,16.176,3.641,5.882,2.941
8109,E. Gnahoré,Eddy,Gnahoré,11564,Dinamo București,dmf,Mijlocaș Defensiv,Midfielder,right,11/14/1993,France,188,88,34,3160,2,0,31,5,6,0,2140,1993,21,17,344,123,234,106,17,140,251,0.027,0,0.835,58.535,54.319,6.604,2.972,0.466,9.455,3.38,89.061,35.326,35.294,7.353,Defensive Midfielder,34,33,4,1,3160,3160,1,0,0,1,112,27,134,50,47,24,16,3,2,218,185,8,4,553,485,339,326,2,1,9,8,839,809,78,50,253,221,63,23,2,0,1,0,1,0,1,7,10,0,51,22,19,18,9,95,15,2.9,1.33,0,1645,55,53,8,36,1,0,7,20,220,132,1,0,22,12,0,0,173,1,0,47,24,0,0,0,0,0,0,0,0,171,80,45,12,839,809,16.392,28.738,14.747,6.976,3.162,3.715,1.237,0.441,0.082,6.01,0.217,0.588,0.027,3.901,6.249,0.163,0,0,0.615,0.027,0.027,0.028,0,0.202,1.343,0.524,15.131,9.288,0.054,0.219,22.923,2.263,0.462,0.219,0.028,2.636,0.415,0.052,0.732,1.416,0.054,0.11,13.152,8.929,0.028,0.192,22.059,1.39,0.506,7.09,1.722,0,0,0,0.028,0.6,5.105,0.062,0.034,0,44.768,1.491,1.446,0.223,0.916,0.027,0,0.553,6.109,3.678,0.027,0,0.203,0.109,4.763,0.027,0,0.611,0.338,0,0,1.237,0.634,0,0,0,0,0,0,0,4.812,2.321,1.258,0.341,22.923,22.059,23.138,37.066,42.647,5.882,81.173,7.843,0,2.941,0,0,44.118,81.607,93.511,2.941,16.176,92.017,56.275,20.098,2.941,9.803,70.068,2.941,0,26.471,42.647,0,0,0,46.986,62.868,32.752,23.529,92.017
11588,M. Cestor,Mike,Cestor,11943,Metaloglobus,lcb,Fundaș Central Stânga,Defender,left,4/30/1992,France,184,78,5,317,0,0,0,0,2,1,107,89,2,2,53,29,26,16,3,8,42,0,0,0,17.044,14.13,4.258,2.5,0.494,7.828,4.076,49.092,49.166,20,0,Left Centre Back,5,3,1,2,317,317,0,0,0,0,18,7,9,7,24,15,5,0,0,9,5,2,1,46,32,8,8,0,0,0,0,41,38,17,8,26,20,4,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,64,1,1,0,10,0,0,1,2,19,13,0,0,3,1,0,0,11,0,0,24,15,0,0,0,0,0,0,0,0,33,12,6,1,41,38,20.362,36.756,2.62,7.164,2.352,1.524,3.568,1.224,0,1.484,0.356,0.356,0,1.608,2.736,0.494,0.316,0,0.356,0,0,0,0,0,0.384,0.494,8.09,1.234,0,0,5.674,2.856,0,0,0,0.494,0,0,0.74,1.208,0,0.178,5.534,1.234,0,0,5.496,1.414,0.356,3.96,0.712,0,0,0,0,0,0.712,0,0,0,10.148,0.178,0.178,0,2.074,0,0,0.178,3.034,2.442,0,0,0,0,1.742,0,0,0.494,0.178,0,0,3.568,2.126,0,0,0,0,0,0,0,4.282,1.126,1.028,0.178,5.674,5.496,25.572,40,30.512,0,13.334,10,0,0,0,0,20,39.18,60,0,0,58.948,27.778,0,0,30,26,0,0,20,30.512,0,0,0,28.332,26,26,10,58.948
19445,C. Braun,Christopher,Braun,11611,CFR Cluj,rb,Fundaș Lateral Dreapta,Defender,right,7/15/1991,Germany,181,76,24,1660,0,0,1,0,5,0,609,467,27,21,317,107,201,88,11,86,142,0,0,0.048,23.717,17.985,7.815,3.636,0.4,13.145,4.152,55.56,36.919,41.667,0,Right Back,24,15,7,9,1660,1660,0,0,0,0,144,30,100,50,36,13,25,0,0,57,35,31,10,244,158,119,112,2,0,3,3,144,107,81,41,235,181,59,28,0,0,0,0,0,0,0,5,9,0,37,14,8,8,3,30,4,0.03,0.52,0,417,11,20,4,55,0,0,3,15,117,57,5,0,42,19,0,0,66,1,0,36,13,0,0,0,0,0,0,0,0,159,90,42,18,144,107,17.398,24.769,17.404,5.56,6.157,4.008,1.4,1.186,0,2.04,1.23,0.953,0,3.504,7.459,0.303,0,0,1.079,0,0,0,0,0.102,1.582,0.286,9.55,4.696,0.08,0.125,5.523,3.363,0.325,0.125,0,0.935,0.137,0.062,1.048,1.972,0,0.389,5.984,4.537,0,0.125,4.029,1.609,0.777,9.824,2.232,0,0,0,0,0.604,1.262,0.002,0.023,0,16.228,0.394,0.628,0.132,2.179,0,0,0.557,4.574,2.251,0.163,0,0.149,0,2.332,0.038,0,1.882,0.865,0,0,1.4,0.53,0,0,0,0,0,0,0,6.516,3.792,1.592,0.69,5.523,4.029,20.666,47.877,17.245,0,37.014,18.055,0,0,0,0,58.333,47.94,68.328,0,12.5,47.23,32.574,20.833,0,13.888,29.904,4.167,0,24.93,17.245,0,0,0,36.973,43.965,30.814,28.125,47.23
20650,J. Cisotti,Juri,Cisotti,11565,FCSB,ramf,Mijlocaș Ofensiv Dr.,Midfielder,right,5/5/1993,Italy,175,64,32,2465,5,1,28,15,3,0,1044,833,57,39,468,195,328,78,12,79,163,0.165,0.029,1.015,36.96,29.604,11.382,2.776,0.456,16.303,7.128,76.882,43.341,52.939,24.739,Right Attacking Midfielder,32,26,16,6,2465,2465,5,0,0,38,152,38,187,98,79,38,43,2,0,111,74,72,30,276,192,226,210,7,2,13,13,331,270,69,37,237,179,159,75,1,0,0,0,14,0,28,4,39,0,50,21,14,33,13,106,22,5.34,4.47,0,791,80,35,6,12,1,1,6,55,138,96,6,0,28,12,0,0,112,2,0,79,38,0,0,0,0,0,0,0,0,238,94,85,30,331,270,17.517,33.977,32.938,5.712,5.261,6.532,2.777,1.361,0.059,3.889,2.624,2.135,0.149,2.768,6.301,0.099,0,0,2.678,0.035,0,0.532,0,0.149,1.733,0.452,9.752,7.92,0.283,0.479,11.997,2.428,1.237,0.479,1.364,3.633,0.74,0.054,1.434,3.518,0,1.065,6.883,7.344,0.084,0.479,9.741,1.315,1.49,8.221,5.833,0,0,0,1.014,0.75,2.579,0.188,0.164,0,28.258,2.832,1.329,0.233,0.482,0.032,0.041,1.99,5.033,3.386,0.191,0,0.241,0.527,4.062,0.071,0,1.017,0.432,0,0,2.777,1.428,0,0,0,0,0,0,0,8.495,3.343,2.976,1.087,11.997,9.741,27.469,52.108,43.445,0,55.79,37.24,6.25,8.073,0,0,46.875,66.368,90.442,3.125,28.125,77.086,52.604,37.031,36.771,2.603,74.672,6.25,0,22.917,43.445,0,0,0,49.36,62.452,42.266,39.285,77.086
21354,D. Djoković,Damjan,Djoković,11611,CFR Cluj,dmf,Mijlocaș Defensiv,Midfielder,left,4/18/1990,Croatia,190,88,29,2221,3,0,17,6,3,0,990,805,5,4,245,111,224,75,10,102,214,0.126,0,0.53,37.246,30.636,8.268,2.659,0.344,9.5,4.532,72.679,43.156,12.069,12.069,Defensive Midfielder,29,25,10,4,2221,2221,5,0,0,0,91,24,22,14,88,56,28,1,1,174,113,13,3,380,265,95,90,6,2,0,0,368,325,107,45,203,168,36,15,0,0,0,0,2,0,0,0,5,0,44,17,15,4,0,75,17,1.12,0.12,0,660,15,9,1,29,0,0,3,11,163,130,10,1,31,19,1,0,122,2,1,88,56,0,0,0,0,0,0,0,0,142,56,13,5,368,325,18.877,31.805,3.514,8.125,3.403,0.848,3.587,1.068,0.031,6.054,0.497,0.198,0.158,3.627,6.121,0.095,0,0,0.56,0,0,0.062,0,0,1.662,0.564,14.036,3.741,0.195,0,13.822,3.55,0.137,0,0,2.847,0.678,0.032,0.903,0.553,0.031,0.139,9.83,3.522,0.063,0,12.374,1.432,0.169,7.465,1.256,0,0,0,0,0.662,3.984,0.037,0.004,0,24.897,0.546,0.313,0.047,1,0,0,0.445,5.981,5.07,0.434,0.066,0.098,0.191,4.437,0.094,0.066,1.173,0.726,0.066,0,3.587,2.414,0,0,0,0,0,0,0,5.616,2.059,0.481,0.198,13.822,12.374,25.922,29.885,53.719,3.448,53.006,6.322,10.345,6.897,0,0,44.828,62.366,81.322,3.448,0,78.646,34.866,3.448,0,5.172,63.639,2.299,3.448,30.46,53.719,0,0,0,52.082,47.504,29.31,13.793,78.646
22389,J. Vojtuš,Jakub,Vojtuš,61242,Farul Constanța,cf,Atacant Central,Forward,right,10/22/1993,Slovakia,187,85,18,637,1,0,12,2,3,0,144,102,7,6,208,65,100,12,1,10,24,0,0,0.337,4.644,3.025,3.672,0.666,0.072,8.166,2.073,19.246,30.106,30.556,0,Striker,18,4,4,14,637,637,3,0,0,19,34,5,59,17,75,33,22,0,0,14,7,6,0,33,16,40,36,0,0,0,0,35,21,13,6,48,31,25,7,0,0,0,0,0,0,14,0,14,0,40,10,9,2,0,14,2,0.99,0.06,0,94,25,1,5,7,1,1,1,9,13,19,4,0,4,3,0,0,10,2,0,75,33,0,0,0,0,0,0,0,0,75,17,15,5,35,21,14.45,17.939,6.489,0.882,1.215,2.142,2.752,0.967,0,0.221,0.376,0.163,0.072,0.617,1.366,0.072,0,0,0.163,0,0,0,0,0,2.055,0.585,0.923,1.374,0,0,0.822,0.163,0,0,0.891,0.474,0,0,0.106,0.621,0,0,0.493,1.162,0,0,0.284,0,0.163,1.832,0.877,0,0,0,0.784,0.249,0.163,0.027,0,0,3.179,0.763,0.106,0.178,0.332,0.106,0,0.293,0.293,0.695,0,0,0.106,0,0.163,0,0,0.129,0.072,0,0,2.752,1.097,0,0,0,0,0,0,0,2.646,0.751,0.549,0.163,0.822,0.284,15.741,21.283,9.028,0,8.333,0,0,1.852,0,0,16.667,10.972,25,0,0,5.093,0,5.556,15.278,10.183,8.333,0,0,5.556,9.028,0,0,0,8.856,20.569,8.069,11.111,5.093
28293,D. Epassy,Devis Rogers,Epassy Mboka,11564,Dinamo București,gk,Portar,Goalkeeper,right,2/2/1993,France,189,80,25,2442,0,0,0,0,1,0,497,418,0,0,13,8,112,42,3,34,90,0,0,0,18.381,15.467,4.113,1.542,0.108,0.484,0.298,84.153,18.667,0,0,Goalkeeper,25,25,0,0,2442,2442,0,0,0,0,1,1,3,1,8,6,0,0,0,38,17,0,0,290,221,1,1,2,1,0,0,177,168,197,124,36,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23.64,346,0,0,0,13,0,0,0,2,157,11,1,152,0,0,77,74,116,1,134,0,0,8,26,86,24,0,8,6,60,8,1,1,0,177,168,30.634,46.726,0,3.322,0.035,0.111,0.301,0,0,1.395,0,0,0,1.258,1.329,0.036,0,0,0,0,0,0,0,0,0.036,0,10.713,0.037,0.074,0,6.55,7.296,0,0,0,0,0,0.035,0.035,0.038,0,0,8.176,0.037,0.038,0,6.21,4.604,0,1.328,0,0,0,0,0,0,0.625,0,0,0.868,12.806,0,0,0,0.479,0,0,0.076,5.813,0.411,0.035,5.616,0,0,4.303,0.035,4.952,0,0,2.85,2.728,0,0,0.954,3.178,0.886,0.301,2.225,0,0.225,0.298,0.035,0.038,0,6.55,6.21,4,4,12.667,0,30.381,0,0,0,0,0,44,76.776,4,4,0,92.509,61.842,0,0,0,72.011,4,87.67,0,0,61.895,0,12.667,18.667,4,4,0,92.509
28528,J. Ikoko,Jordan,Ikoko,11564,Dinamo București,rb,Fundaș Lateral Dreapta,Defender,right,2/3/1994,France,178,76,19,1086,0,2,4,1,2,0,500,425,16,11,163,56,102,41,5,52,101,0,0.131,0.209,23.523,19.981,4.585,1.9,0.205,7.932,2.771,48.387,27.529,34.211,5.263,Right Back,19,10,6,9,1086,1086,0,0,0,0,66,9,60,26,18,10,8,2,1,48,33,28,11,150,110,96,91,2,1,4,4,129,111,22,8,120,96,50,23,0,0,0,0,0,0,0,2,1,0,19,11,1,9,4,31,4,0.31,0.94,0,356,21,17,3,15,0,0,0,9,74,38,2,0,25,10,0,0,53,2,0,18,10,0,0,0,0,0,0,0,0,85,42,22,10,129,111,15.516,19.764,22.058,4.818,3.296,2.744,0.912,0.366,0.048,2.372,1.304,0.652,0,2.476,4.683,0,0,0,1.144,0,0,0,0,0.111,0.981,0.048,7.415,4.889,0.049,0.269,5.62,1.163,0.581,0.269,0,1.269,0.177,0,0.535,1.265,0,0.626,5.323,4.683,0,0.269,4.904,0.353,0.457,5.884,2.212,0,0,0,0,0.529,1.624,0.016,0.053,0,16.972,0.814,0.951,0.18,0.83,0,0,0.347,3.802,1.502,0.111,0,0,0.056,2.785,0.111,0,1.317,0.592,0,0,0.912,0.443,0,0,0,0,0,0,0,4.149,2.096,1.083,0.463,5.62,4.904,6.886,34.586,14.737,0,33.377,28.509,0,0,0,0,42.105,39.952,55.16,0,15.789,50.351,17.017,15.789,0,5.263,42.214,10.526,0,15.965,14.737,0,0,0,29.748,37.499,24.937,26.316,50.351
38598,D. Alibec,Denis,Alibec,61242,Farul Constanța,cf,Atacant Central,Forward,left,1/5/1991,Romania,187,84,16,879,4,1,28,10,2,0,233,166,22,15,155,61,128,18,4,8,27,0.179,0.086,1.352,11.132,7.805,6.988,0.773,0.116,8.861,3.636,35.021,36.118,36.459,16.667,Striker,16,9,5,7,879,879,0,0,1,27,8,3,95,44,23,8,4,3,1,40,25,16,7,72,44,29,26,7,2,6,6,76,54,29,15,16,14,69,31,7,2,5,2,4,1,15,1,6,0,29,6,6,11,6,24,6,3.23,1.42,0,180,21,9,3,0,1,0,0,10,41,16,0,0,0,0,0,0,34,0,0,23,8,0,0,0,0,0,0,0,0,55,6,35,13,76,54,17.949,29.464,19.262,1.268,0.234,5.313,1.682,0.236,0.168,2.131,0.685,1.098,0,0.468,0.644,0.12,0,0,1.566,0.3,0.182,0,0.062,0.079,1.629,0.379,3.808,1.406,0.396,0.324,3.352,1.533,0.513,0.324,1.519,1.21,0.401,0,0.059,2.59,0.11,0.194,2.341,1.222,0.169,0.324,2.218,0.724,0.862,0.702,3.304,0.062,0.062,0.062,0.915,0.341,1.324,0.174,0.078,0,8.612,1.38,0.566,0.115,0,0.058,0,0.628,1.952,0.861,0,0,0,0.574,1.716,0,0,0,0,0,0,1.682,0.646,0,0,0,0,0,0,0,2.981,0.176,1.818,0.688,3.352,2.218,9.375,39.338,16.354,6.25,27.648,12.5,0,13.021,3.125,6.25,12.5,28.98,38.542,6.25,25,34.067,18.973,37.5,28.75,12.5,38.125,0,0,0,16.354,0,0,0,17.776,9.375,18.088,20.834,34.067
